Date,Open,High,Low,Close
04-Jan-10,17473.45,17582.84,17378.38,17558.73
05-Jan-10,17555.77,17729.78,17555.77,17686.24
06-Jan-10,17719.47,17790.33,17636.71,17701.13
07-Jan-10,17701.97,17733.34,17566.54,17615.72
08-Jan-10,17603.87,17658.12,17508.96,17540.29
11-Jan-10,17724.59,17776.57,17500.79,17526.71
12-Jan-10,17534.1,17612,17392.55,17422.51
13-Jan-10,17368.03,17528.31,17276.46,17509.8
14-Jan-10,17525.71,17628.04,17525.71,17584.87
15-Jan-10,17604.31,17639.85,17529.11,17554.3
18-Jan-10,17538.72,17712.6,17505.5,17641.08
19-Jan-10,17650.82,17664.86,17463.78,17486.06
20-Jan-10,17486.69,17590.59,17425.05,17474.49
21-Jan-10,17474.49,17474.49,17025.26,17051.14
22-Jan-10,16978.36,17000.33,16608.09,16859.68
25-Jan-10,16847.7,16877.77,16705.56,16780.46
27-Jan-10,16708.6,16708.6,16230.85,16289.82
28-Jan-10,16317.16,16524.69,16182.14,16306.87
29-Jan-10,16253.82,16390.31,15982.08,16357.96
01-Feb-10,16339.32,16422.4,16160.8,16356.03
02-Feb-10,16368.44,16525.98,16129.11,16163.44
03-Feb-10,16210.25,16552.99,16210.25,16496.05
04-Feb-10,16500.29,16508.22,16188.8,16224.95
05-Feb-10,16222.56,16222.56,15725.43,15790.93
06-Feb-10,15807.75,15951.07,15807.75,15915.65
08-Feb-10,15931.34,16061.41,15651.99,15935.61
09-Feb-10,15940.73,16094.13,15862.9,16042.18
10-Feb-10,16042.18,16141.13,15892.01,15922.17
11-Feb-10,15928.28,16202.87,15928.28,16152.59
15-Feb-10,16186.9,16227.04,16011.82,16038.35
16-Feb-10,16042.18,16310.39,16021.29,16226.68
17-Feb-10,16228.91,16480.89,16228.91,16428.91
18-Feb-10,16421.2,16452.51,16287.17,16327.84
19-Feb-10,16256.53,16301.94,16074.58,16191.63
22-Feb-10,16191.32,16423.23,16191.32,16237.05
23-Feb-10,16213.14,16324.93,16178.91,16286.32
24-Feb-10,16218.68,16328.44,16187.44,16255.97
25-Feb-10,16264.1,16329.33,16167.13,16254.2
26-Feb-10,16255.33,16669.25,16249.67,16429.55
02-Mar-10,16438.45,16808.49,16438.45,16772.56
03-Mar-10,16778.29,17012.61,16778.29,17000.01
04-Mar-10,17013.68,17024.96,16888.05,16971.7
05-Mar-10,16988.29,17097.71,16936.12,16994.49
08-Mar-10,17034.92,17187.55,17034.92,17102.6
09-Mar-10,17089.22,17130.83,17031.21,17052.54
10-Mar-10,17072.94,17183.51,17027.92,17098.33
11-Mar-10,17087.63,17215.07,17054.28,17167.96
12-Mar-10,17176.02,17244.54,17126.93,17166.62
15-Mar-10,17166.97,17195.49,17061.14,17164.99
16-Mar-10,17169.84,17416.55,17150.06,17383.18
17-Mar-10,17389.47,17576.78,17389.47,17490.08
18-Mar-10,17492.81,17548.13,17417.61,17519.26
19-Mar-10,17531.47,17600.87,17502.14,17578.23
22-Mar-10,17481.96,17559.18,17337.38,17410.57
23-Mar-10,17422.51,17530.79,17356.64,17451.02
25-Mar-10,17458.51,17575.23,17383.21,17558.85
26-Mar-10,17558.85,17682.94,17558.85,17644.76
29-Mar-10,17639.18,17793.01,17639.18,17711.35
30-Mar-10,17703.67,17783.35,17558.22,17590.17
31-Mar-10,17602.39,17699.5,17488.55,17527.77
01-Apr-10,17555.04,17706.56,17555.04,17692.62
05-Apr-10,17693.66,17948.54,17693.66,17935.68
06-Apr-10,17940.32,17991.41,17898,17941.37
07-Apr-10,17915.6,18047.86,17878.31,17970.02
08-Apr-10,17950.56,17960.91,17679.34,17714.4
09-Apr-10,17715.16,17971.47,17715.16,17933.14
12-Apr-10,17874.16,17995.25,17816.19,17853
13-Apr-10,17831.38,17892.78,17736.09,17821.96
15-Apr-10,17804.55,17975.57,17619.02,17639.26
16-Apr-10,17645.91,17663.99,17529.55,17591.18
19-Apr-10,17584.86,17584.86,17276.8,17400.68
20-Apr-10,17394.68,17560.09,17394.68,17460.58
21-Apr-10,17458.76,17565.55,17446.51,17472.56
22-Apr-10,17476.48,17778.34,17408.02,17573.99
23-Apr-10,17533.88,17725.88,17533.88,17694.2
26-Apr-10,17692.26,17826.48,17692.26,17745.28
27-Apr-10,17744.93,17769.25,17678.56,17690.62
28-Apr-10,17643.59,17643.59,17344.58,17380.08
29-Apr-10,17382.09,17532.86,17382.09,17503.47
30-Apr-10,17503.47,17646.61,17503.47,17558.71
03-May-10,17536.86,17536.86,17345.92,17386.08
04-May-10,17371.75,17464.82,17101.96,17137.14
05-May-10,17103.95,17121.66,16858.23,17087.96
06-May-10,17080.47,17080.47,16823,16987.53
07-May-10,16939.58,16939.58,16684.13,16769.11
10-May-10,16799.49,17356.54,16799.49,17330.55
11-May-10,17336.13,17379.15,17104.45,17141.53
12-May-10,17141.53,17252.52,17028.08,17195.81
13-May-10,17323.63,17389.15,17240.35,17265.87
14-May-10,17267.25,17329.32,16923.65,16994.6
17-May-10,16961.92,16961.92,16551,16835.56
18-May-10,16840.59,17000.34,16744.13,16875.76
19-May-10,16802.39,16802.39,16373.32,16408.49
20-May-10,16419.1,16617.8,16419.1,16519.68
21-May-10,16317.94,16486.74,16187.03,16445.61
24-May-10,16494.61,16757.73,16413.03,16469.55
25-May-10,16444.57,16444.57,15960.15,16022.48
26-May-10,16069.78,16410.35,16069.78,16387.84
27-May-10,16410.88,16694.55,16331.1,16666.4
28-May-10,16692.66,16891.17,16692.66,16863.06
31-May-10,16872.17,16971.15,16806.5,16944.63
01-Jun-10,16942.82,16942.82,16318.39,16572.03
02-Jun-10,16574.79,16774.15,16571.45,16741.84
03-Jun-10,16786.28,17072.63,16786.28,17022.33
04-Jun-10,17036.55,17150.42,16963.92,17117.69
07-Jun-10,17069.77,17069.77,16686.73,16781.07
08-Jun-10,16760.6,16895.73,16560.64,16617.1
09-Jun-10,16621.12,16817.69,16591.26,16657.89
10-Jun-10,16668.91,16942.6,16668.91,16922.08
11-Jun-10,16994.07,17131.56,16994.07,17064.95
14-Jun-10,17118.74,17351.18,17118.74,17338.17
15-Jun-10,17355.49,17442.5,17249.46,17412.83
16-Jun-10,17500.3,17530.38,17407.3,17462.87
17-Jun-10,17490.52,17647.42,17394.9,17616.69
18-Jun-10,17628.02,17721.99,17525.29,17570.82
21-Jun-10,17654.81,17919.62,17654.81,17876.55
22-Jun-10,17868.12,17868.12,17725.63,17749.69
23-Jun-10,17694.87,17782.41,17629.19,17755.94
24-Jun-10,17750.51,17845.65,17632.8,17730.24
25-Jun-10,17705.11,17714.73,17546.73,17574.53
28-Jun-10,17577.66,17794.8,17571.85,17774.26
29-Jun-10,17777.95,17777.95,17465.73,17534.09
30-Jun-10,17476.85,17725.04,17373.78,17700.9
01-Jul-10,17679.34,17679.34,17455.41,17509.33
